vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
6690,29011.0,(SOHC)     (FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6691,29011.0,(SOHC)     (FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6692,29021.0,(DOHC)     (FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
7409,29092.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7411,29094.0,(FFS),6.0,2.8,,Regular,Regular Gasoline,,-1.0,-1.0
7410,29092.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7412,29094.0,(FFS),6.0,2.8,,Regular,Regular Gasoline,,-1.0,-1.0
6693,30550.0,(FFS),6.0,4.0,,Premium,Premium Gasoline,,-1.0,-1.0
6412,30567.0,(GUZZLER)  (FFS),12.0,5.3,,Premium,Premium Gasoline,,-1.0,-1.0
6546,30562.0,(GUZZLER)  (FFS),12.0,5.3,,Premium,Premium Gasoline,,-1.0,-1.0
7324,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7327,1861.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7325,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7326,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7328,1862.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7375,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7376,1928.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7379,1961.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7377,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7378,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7380,1962.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7055,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
