vehicle_id,city_mpg_ft1,city_electricity_consumption,highway_mpg_ft1,highway_electricity_consumption,unadjusted_city_mpg_ft1,unadjusted_highway_mpg_ft1,combined_mpg_ft1,combined_electricity_consumption,annual_fuel_cost_ft1,save_or_spend_5_year,annual_consumption_in_barrels_ft1,tailpipe_co2_ft1,tailpipe_co2_in_grams_mile_ft1,fuel_economy_score,my_mpg_data
8105,6.37716,0.0,9.778312,0.0,7.652592,13.604608,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,Y
7547,8.928024,0.0,12.329176,0.0,11.053744,17.430904,10.203456,0.0,1232.5,-425.0,13.73375,-1.0,370.2916667,-1.0,Y
7549,7.652592,0.0,10.6286,0.0,9.353168,14.88004,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7548,8.928024,0.0,13.604608,0.0,11.478888,19.13148,10.6286,0.0,1190.0,-212.5,13.1844,-1.0,355.48,-1.0,N
7550,7.227448000000001,0.0,11.053744,0.0,8.928024,15.305184,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7551,7.652592,0.0,10.6286,0.0,9.353168,14.88004,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7552,7.227448000000001,0.0,11.053744,0.0,8.928024,15.305184,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,Y
8041,8.928024,0.0,11.904032,0.0,11.3371875048,16.8967530784,10.203456,0.0,1232.5,-425.0,13.73375,-1.0,370.2916667,-1.0,N
8043,7.652592,0.0,10.6286,0.0,9.353168,14.88004,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
8042,8.928024,0.0,12.75432,0.0,11.3371875048,17.9868648088,10.203456,0.0,1232.5,-425.0,13.73375,-1.0,370.2916667,-1.0,N
7924,8.928024,0.0,11.904032,0.0,11.3371875048,16.8967530784,10.203456,0.0,1232.5,-425.0,13.73375,-1.0,370.2916667,-1.0,Y
7926,7.652592,0.0,10.6286,0.0,9.353168,14.88004,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,Y
7925,8.928024,0.0,12.75432,0.0,11.3371875048,17.9868648088,10.203456,0.0,1232.5,-425.0,13.73375,-1.0,370.2916667,-1.0,N
7927,7.227448000000001,0.0,11.053744,0.0,8.928024,15.305184,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7453,6.37716,0.0,9.353168,0.0,7.652592,13.179464,7.227448000000001,0.0,2125.0,-4887.5,19.38882353,-1.0,522.7647059,-1.0,N
7452,6.37716,0.0,9.778312,0.0,7.652592,13.604608,7.227448000000001,0.0,2125.0,-4887.5,19.38882353,-1.0,522.7647059,-1.0,N
7454,6.37716,0.0,10.203456,0.0,7.652592,14.029752,7.652592,0.0,1997.5,-4250.0,18.31166667,-1.0,493.7222222,-1.0,N
8388,5.952016,0.0,7.227448000000001,0.0,7.227448000000001,10.203456,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8389,5.1017280000000005,0.0,7.227448000000001,0.0,6.37716,9.778312,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8390,5.1017280000000005,0.0,7.227448000000001,0.0,6.37716,10.203456,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8391,6.37716,0.0,8.502880000000001,0.0,7.652592,11.991229034400002,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8351,6.37716,0.0,8.502880000000001,0.0,7.652592,11.904032,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
8352,5.526872,0.0,7.227448000000001,0.0,6.802304,9.8110055736,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8353,5.952016,0.0,7.652592,0.0,7.0857475048,10.356082696,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8354,6.37716,0.0,8.502880000000001,0.0,8.077736,11.904032,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8392,4.676584,0.0,6.802304,0.0,5.952016,9.353168,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8355,6.37716,0.0,8.502880000000001,0.0,7.652592,11.478888,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8249,5.952016,0.0,7.652592,0.0,7.5581250032,10.356082696,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8253,5.1017280000000005,0.0,6.802304,0.0,6.37716,9.2659709656,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8255,4.676584,0.0,6.37716,0.0,5.952016,8.928024,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,Y
8259,6.37716,0.0,8.077736,0.0,7.652592,11.053744,6.802304,0.0,2040.0,-4462.5,23.8865625,-1.0,636.25,-1.0,N
8250,5.952016,0.0,6.802304,0.0,7.227448000000001,9.353168,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8256,4.676584,0.0,5.526872,0.0,5.6685724952,7.652592,5.1017280000000005,0.0,2465.0,-6587.5,27.4675,-1.0,740.5833333,-1.0,N
8260,6.37716,0.0,7.227448000000001,0.0,8.077736,9.778312,6.802304,0.0,2040.0,-4462.5,23.8865625,-1.0,636.25,-1.0,N
28905,6.802304,0.0,8.502880000000001,0.0,8.4090507192,11.6483503984,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8251,6.37716,0.0,8.077736,0.0,7.652592,11.053744,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8252,6.37716,0.0,7.652592,0.0,7.652592,10.356082696,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8254,5.1017280000000005,0.0,7.227448000000001,0.0,6.37716,9.778312,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8257,4.676584,0.0,6.802304,0.0,5.952016,9.353168,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8258,4.676584,0.0,6.37716,0.0,5.952016,8.928024,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8261,5.952016,0.0,7.652592,0.0,7.227448000000001,10.356082696,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8265,5.1017280000000005,0.0,6.802304,0.0,6.37716,9.2659709656,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8267,4.676584,0.0,6.37716,0.0,5.952016,8.928024,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8271,6.37716,0.0,8.502880000000001,0.0,7.652592,11.478888,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8262,5.952016,0.0,6.802304,0.0,7.227448000000001,9.353168,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8268,4.676584,0.0,5.526872,0.0,5.526872,7.652592,5.1017280000000005,0.0,2465.0,-6587.5,27.4675,-1.0,740.5833333,-1.0,N
8272,6.37716,0.0,7.227448000000001,0.0,8.077736,9.778312,6.802304,0.0,2040.0,-4462.5,23.8865625,-1.0,636.25,-1.0,N
28906,7.227448000000001,0.0,8.928024,0.0,8.809833968000001,12.484438588800002,7.652592,0.0,1827.5,-3400.0,21.2325,-1.0,565.5555556,-1.0,N
